,Player ID,Scoring percentPTS2PT_MR,Scoring percentPTS3PT,Scoring percentPTSFBPs,Scoring percentPTSFT,Scoring percentPTSOffTO,Scoring percentPTSPITP,Scoring 2FGMpercentAST,Scoring 3FGMpercentAST,Scoring FGMpercentAST,Scoring DriveFGPCT,Scoring CatchShootFGPCT,Scoring PullUpFGPCT,Scoring ITPFGPCT,Scoring PostFGPCT,Scoring ElbowFGPCT,Scoring RA FGPCT,Scoring ITP(NonRA) FGPCT,Scoring MR FGPCT,Scoring LC3 FGPCT,Scoring RC3 FGPCT,Scoring ATB3 FGPCT,Scoring Backcourt3 FGPCT,Scoring Corner FGPCT
84,203925.0,3.9,52.5,11.1,7.2,14.0,36.4,75.2,96.0,84.9,60.0,34.300000000000004,58.3,50.0,0.0,0.0,73.3,50.0,33.300000000000004,50.0,37.5,44.4,0.0,45.0
85,101150.0,16.2,27.5,13.0,25.5,14.6,30.8,19.7,62.4,31.7,0.0,20.0,0.0,74.2,0.0,55.60000000000001,70.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0
86,1628370.0,2.7,30.8,14.0,13.8,15.3,52.7,53.8,84.9,62.2,46.7,39.7,39.0,83.3,50.0,60.0,69.19999999999999,38.9,48.6,37.5,42.9,36.5,0.0,40.5
87,203496.0,2.4,53.8,16.4,11.9,15.1,31.9,77.2,89.9,83.7,44.800000000000004,41.6,38.0,25.0,0.0,75.0,52.900000000000006,35.3,36.6,38.9,23.1,36.4,0.0,32.300000000000004
88,203497.0,0.0,0.0,4.0,23.5,12.7,76.5,71.9,0.0,71.9,58.3,28.999999999999996,34.8,52.6,40.0,45.5,67.60000000000001,40.0,46.7,58.3,57.099999999999994,13.0,0.0,57.9
89,203933.0,18.9,17.8,19.2,13.9,20.4,49.4,62.6,94.7,67.4,75.0,26.3,50.0,80.0,0.0,66.7,83.3,57.099999999999994,33.300000000000004,0.0,33.300000000000004,30.0,0.0,25.0
90,201959.0,15.9,3.0,7.3,9.3,13.0,71.8,72.0,100.0,72.6,50.0,23.1,0.0,75.6,50.0,55.00000000000001,75.7,23.1,25.0,0.0,40.0,0.0,0.0,28.599999999999998
91,1627748.0,5.8,21.0,3.3,28.0,18.9,45.3,72.6,100.0,78.5,54.800000000000004,40.400000000000006,40.2,37.0,40.0,53.800000000000004,59.0,34.699999999999996,44.5,40.0,47.099999999999994,40.1,0.0,44.4
92,203501.0,12.3,55.9,11.7,11.7,12.5,20.1,50.0,84.6,68.5,48.5,35.8,41.5,58.8,50.0,61.1,60.6,39.1,40.699999999999996,36.7,37.5,35.3,0.0,37.0
93,203083.0,1.1,1.0,7.4,17.1,14.0,80.8,56.8,66.7,56.8,43.2,40.2,35.9,85.7,0.0,50.0,62.5,30.0,44.800000000000004,20.0,41.199999999999996,36.8,0.0,33.300000000000004
94,1627745.0,0.7,2.0,4.7,20.7,12.0,76.7,83.6,100.0,83.9,80.0,0.0,0.0,72.2,71.39999999999999,56.49999999999999,76.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0
95,202355.0,7.5,0.7,2.5,17.1,12.1,74.7,66.1,100.0,66.3,40.0,40.0,25.0,67.4,33.300000000000004,62.1,71.2,44.3,50.0,50.0,25.0,34.599999999999994,0.0,31.3
96,201580.0,1.6,2.5,9.6,11.8,15.7,84.1,73.1,66.7,73.0,46.800000000000004,42.8,40.300000000000004,51.1,48.199999999999996,46.400000000000006,63.4,29.099999999999998,43.4,31.8,42.3,41.0,0.0,37.5
97,203516.0,2.0,38.3,24.2,17.4,18.1,42.3,69.7,97.4,79.8,48.1,36.1,41.099999999999994,67.5,0.0,50.0,65.3,48.6,32.5,44.4,36.0,34.4,0.0,39.900000000000006
98,201935.0,1.0,39.0,9.6,29.6,15.0,30.4,14.1,14.1,14.1,52.0,37.5,28.599999999999998,75.0,0.0,100.0,61.5,28.599999999999998,100.0,25.0,20.0,41.4,0.0,23.1
99,202685.0,3.2,10.7,4.7,12.0,11.9,74.1,57.7,100.0,61.3,43.9,36.5,32.9,63.0,0.0,57.099999999999994,63.4,25.0,31.3,37.5,35.8,36.5,0.0,36.4
